iter	Passed	Remaining
0	4	473
1	9	441
2	13	432
3	16	402
4	20	389
5	24	377
6	28	379
7	32	375
8	36	371
9	41	372
10	46	378
11	51	378
12	55	374
13	60	372
14	65	369
15	69	365
16	73	360
17	77	353
18	81	345
19	84	339
20	88	332
21	91	326
22	95	319
23	97	309
24	100	300
25	102	292
26	105	284
27	107	275
28	108	266
29	110	258
30	112	250
31	113	241
32	115	233
33	116	226
34	117	219
35	119	212
36	120	205
37	121	198
38	122	192
39	124	186
40	125	180
41	125	173
42	126	168
43	127	162
44	128	157
45	129	152
46	131	147
47	132	143
48	133	138
49	133	133
50	134	129
51	135	125
52	136	121
53	137	117
54	138	113
55	139	109
56	140	105
57	141	102
58	142	98
59	143	95
60	144	92
61	145	89
62	146	85
63	147	82
64	148	79
65	149	76
66	150	74
67	151	71
68	152	68
69	153	65
70	154	62
71	155	60
72	156	57
73	157	55
74	158	52
75	159	50
76	160	47
77	161	45
78	162	43
79	162	40
80	163	38
81	164	36
82	165	33
83	166	31
84	167	29
85	168	27
86	169	25
87	170	23
88	171	21
89	172	19
90	173	17
91	174	15
92	175	13
93	176	11
94	178	9
95	179	7
96	180	5
97	181	3
98	182	1
99	183	0
