iter	Passed	Remaining
0	1417	1416420
1	1423	710326
2	1432	476182
3	1438	358187
4	1451	288930
5	1456	241307
6	1460	207200
7	1463	181497
8	1466	161454
9	1468	145430
10	1473	132506
11	1475	121498
12	1477	112177
13	1479	104198
14	1481	97297
15	1483	91232
16	1487	86018
17	1491	81356
18	1493	77109
19	1495	73270
20	1498	69856
21	1503	66827
22	1505	63943
23	1507	61303
24	1509	58851
25	1510	56587
26	1512	54488
27	1513	52540
28	1515	50733
29	1518	49085
30	1520	47520
31	1522	46049
32	1524	44684
33	1527	43393
34	1529	42171
35	1533	41058
36	1535	39970
37	1537	38918
38	1538	37914
39	1541	37005
40	1544	36123
41	1549	35349
42	1552	34554
43	1555	33807
44	1558	33069
45	1562	32397
46	1563	31707
47	1565	31049
48	1567	30413
49	1568	29806
50	1570	29223
51	1572	28662
52	1573	28122
53	1577	27641
54	1579	27139
55	1581	26656
56	1583	26192
57	1585	25746
58	1587	25315
59	1589	24902
60	1592	24515
61	1595	24140
62	1598	23767
63	1600	23408
64	1602	23049
65	1608	22758
66	1613	22471
67	1615	22146
68	1619	21851
69	1623	21570
70	1626	21282
71	1628	20989
72	1635	20772
73	1637	20495
74	1639	20222
75	1644	19995
76	1649	19777
77	1652	19528
78	1653	19282
79	1655	19042
80	1666	18907
81	1669	18694
82	1671	18461
83	1677	18294
84	1686	18150
85	1691	17975
86	1693	17775
87	1711	17739
88	1713	17543
89	1716	17351
90	1724	17227
91	1729	17072
92	1732	16899
93	1735	16729
94	1740	16579
95	1742	16411
96	1747	16271
97	1749	16106
98	1757	15994
99	1759	15833
100	1760	15671
101	1762	15515
102	1778	15492
103	1781	15349
104	1785	15216
105	1791	15109
106	1794	14974
107	1796	14840
108	1799	14712
109	1806	14613
110	1808	14482
111	1810	14351
112	1811	14221
113	1814	14103
114	1816	13982
115	1821	13880
116	1822	13754
117	1824	13634
118	1825	13516
119	1827	13399
120	1830	13294
121	1832	13186
122	1833	13074
123	1835	12964
124	1836	12856
125	1844	12796
126	1848	12706
127	1849	12603
128	1851	12503
129	1853	12403
130	1854	12304
131	1856	12206
132	1857	12109
133	1860	12020
134	1863	11941
135	1865	11848
136	1866	11757
137	1867	11666
138	1869	11579
139	1870	11492
140	1872	11409
141	1875	11334
142	1877	11254
143	1879	11170
144	1880	11088
145	1881	11006
146	1883	10926
147	1884	10848
148	1885	10771
149	1890	10715
150	1893	10643
151	1894	10569
152	1895	10494
153	1897	10421
154	1898	10348
